X1,X2,Y
47,5,1
14,33,1
42,85,1
25,2,1
68,4,0
68,28,0
57,48,0
44,35,1
78,88,0
70,77,0
84,95,0
80,13,0
69,29,0
33,41,1
21,10,1
97,45,0
78,56,0
72,51,0
6,59,1
5,40,1
52,93,0
15,57,1
94,83,0
8,53,1
23,77,1
42,36,1
88,53,0
90,34,0
10,80,1
34,46,1
79,77,0
9,56,1
11,48,1
32,40,1
58,61,0
35,56,1
100,88,0
16,57,1
86,87,0
43,87,1
86,40,0
100,80,0
34,4,1
65,37,0
72,51,0
63,40,0
9,23,1
1,28,1
41,54,1
32,2,1
78,69,0
38,46,1
18,17,1
25,59,1
90,90,0
37,50,1
14,1,1
73,38,0
72,73,0
14,8,1
23,16,1
54,82,0
56,45,0
19,94,1
11,84,1
27,45,1
31,74,1
89,36,0
15,99,1
97,39,0
100,82,0
59,24,0
40,35,1
25,87,1
9,20,1
29,60,1
50,31,0
73,61,0
25,10,1
28,92,1
42,42,1
86,25,0
63,87,0
41,78,1
83,54,0
25,61,1
83,34,0
61,5,0
24,63,1
9,45,1
81,57,0
71,57,0
16,69,1
49,8,1
73,55,0
94,82,0
60,21,0
70,42,0
99,24,0
24,61,1
