X1,X2,Y
58,6,1
34,5,0
63,82,1
96,81,1
39,75,0
96,44,1
25,21,0
76,37,1
37,43,0
8,39,0
33,31,0
100,72,1
1,71,0
33,94,0
81,78,1
15,97,0
94,8,1
85,57,1
79,70,1
49,46,0
47,6,0
79,88,1
87,87,1
99,33,1
47,59,0
79,33,1
91,9,1
45,21,0
38,20,0
13,8,0
98,31,1
73,29,1
35,12,0
97,72,1
7,91,0
74,84,1
80,20,1
61,66,1
77,88,1
31,99,0
38,44,0
2,24,0
39,92,0
70,26,1
57,93,1
42,30,0
63,14,1
87,15,1
51,40,1
87,35,1
74,36,1
10,96,0
7,64,0
96,65,1
88,36,1
48,38,0
70,96,1
73,4,1
65,82,1
43,53,0
64,8,1
7,8,0
87,45,1
77,52,1
69,30,1
60,49,1
5,43,0
71,70,1
4,5,0
80,55,1
73,51,1
100,50,1
87,76,1
100,8,1
31,69,0
16,23,0
74,87,1
27,39,0
94,60,1
75,43,1
47,42,0
78,18,1
30,85,0
50,67,0
90,25,1
91,5,1
76,53,1
58,81,1
66,69,1
1,54,0
24,62,0
72,79,1
37,39,0
95,34,1
30,88,0
100,3,1
52,26,1
51,18,1
58,96,1
61,26,1
