X1,X2,Y
3,80,1
39,43,1
70,89,0
86,3,1
18,18,1
58,64,0
23,76,1
70,47,0
27,68,1
65,15,1
94,70,0
11,51,1
3,30,1
23,1,1
60,50,0
38,16,1
100,3,0
26,68,1
97,62,0
16,32,1
16,66,1
81,47,0
17,88,0
38,81,0
73,63,0
76,83,0
79,50,0
93,68,0
45,80,0
25,26,1
24,19,1
3,11,1
77,36,0
25,7,1
87,44,0
90,84,0
69,66,0
7,23,1
29,25,1
62,54,0
62,76,0
75,91,0
45,5,1
46,80,0
43,40,1
19,5,1
94,55,0
47,15,1
32,12,1
67,52,0
22,4,1
57,83,0
7,9,1
80,24,0
28,64,1
99,63,0
85,43,0
38,80,0
86,63,0
18,77,1
51,75,0
51,40,1
91,46,0
49,47,1
20,71,1
32,42,1
80,35,0
47,98,0
92,52,0
28,23,1
40,10,1
83,59,0
51,64,0
22,47,1
2,12,1
90,32,0
42,71,0
87,12,1
92,26,0
11,58,1
60,43,0
17,81,1
86,79,0
72,69,0
82,4,1
68,48,0
26,38,1
100,43,0
69,32,0
86,22,0
8,42,1
35,87,0
59,58,0
33,16,1
66,27,1
49,53,0
6,22,1
16,93,0
78,100,0
68,74,0
