X1,X2,Y1,Y
-25,63,-1575,0
27,-8,-216,0
50,6,300,1
-70,41,-2870,0
57,99,5643,1
-86,92,-7912,0
-72,16,-1152,0
88,61,5368,1
-74,7,-518,0
-61,23,-1403,0
80,41,3280,1
18,91,1638,1
-12,-5,60,1
55,-8,-440,0
80,68,5440,1
-61,82,-5002,0
42,7,294,1
63,37,2331,1
-77,13,-1001,0
-55,-10,550,1
-47,-8,376,1
-17,45,-765,0
-74,1,-74,0
93,31,2883,1
-44,54,-2376,0
66,-5,-330,0
50,5,250,1
29,20,580,1
86,54,4644,1
-46,63,-2898,0
-6,15,-90,0
0,37,0,0
7,-5,-35,0
-91,97,-8827,0
5,27,135,1
68,82,5576,1
-75,0,0,0
71,-5,-355,0
19,96,1824,1
17,81,1377,1
-72,-10,720,1
-17,4,-68,0
-55,52,-2860,0
98,67,6566,1
-40,63,-2520,0
-35,91,-3185,0
-49,45,-2205,0
59,65,3835,1
35,68,2380,1
4,1,4,1
-90,93,-8370,0
49,81,3969,1
88,0,0,0
71,59,4189,1
40,49,1960,1
-63,79,-4977,0
56,40,2240,1
-90,86,-7740,0
-7,13,-91,0
11,83,913,1
-69,95,-6555,0
58,54,3132,1
90,13,1170,1
-3,62,-186,0
68,-8,-544,0
38,92,3496,1
7,46,322,1
69,93,6417,1
-40,0,0,0
48,6,288,1
-6,-2,12,1
-62,79,-4898,0
4,22,88,1
-62,6,-372,0
87,96,8352,1
93,50,4650,1
27,36,972,1
69,78,5382,1
-72,67,-4824,0
-47,29,-1363,0
83,23,1909,1
7,90,630,1
-71,81,-5751,0
-40,77,-3080,0
-22,66,-1452,0
75,40,3000,1
32,42,1344,1
-49,56,-2744,0
-69,37,-2553,0
-20,27,-540,0
23,3,69,1
98,59,5782,1
54,67,3618,1
92,64,5888,1
27,75,2025,1
-97,88,-8536,0
52,26,1352,1
-14,78,-1092,0
54,47,2538,1
99,29,2871,1
